Date,Location,Surface Water Temp (°C),Middle Water Temp (°C),Bottom Water Temp (°C),pH Level,Ammonia (mg/L),Nitrate-N/Nitrite-N  (mg/L),Phosphate (mg/L),Dissolved Oxygen (mg/L),SO2 Flux (t/d),CO2 Flux (t/d),Month,Month_sin,Month_cos
2013-01-31,Wawa Tanauan,0.6847058823529412,0.531707317073171,0.2054054054054055,0.6590909090909087,0.3738738738738738,0.0033509700176366,0.1156249999999999,0.0418006430868167,0.0235747121920553,0.1019548353255311,1,0.4999999999999999,0.8660254037844387
2013-01-31,Aya Talisay,0.6867647058823529,0.5024390243902441,0.2486486486486487,0.6948051948051948,0.0,0.0040564373897707,0.1275568181818182,0.4180064308681672,0.0235747121920553,0.1019548353255311,1,0.4999999999999999,0.8660254037844387
2013-02-11,Aya Talisay,0.6920588235294117,0.5138211382113822,0.2648648648648657,0.691558441558441,0.254054054054054,0.0116402116402116,0.1633522727272727,0.319935691318328,0.0235747121920553,0.1019548353255311,2,0.8660254037844386,0.5000000000000001
2013-02-11,Tumaway Talisay,0.6926470588235294,0.5349593495934963,0.2648648648648657,0.698051948051948,0.2378378378378378,0.0116402116402116,0.1267045454545454,0.4292604501607717,0.0235747121920553,0.1019548353255311,2,0.8660254037844386,0.5000000000000001
2013-02-11,Sampaloc Talisay,0.7035294117647058,0.5447154471544715,0.3243243243243245,0.7402597402597402,0.2378378378378378,0.0116402116402116,0.1076704545454545,0.4863344051446945,0.0235747121920553,0.1019548353255311,2,0.8660254037844386,0.5000000000000001
2013-02-11,Berinayan Laurel,0.7052941176470588,0.5495934959349598,0.2972972972972973,0.75,0.2162162162162161,0.0,0.1303977272727272,0.4445337620578778,0.0235747121920553,0.1019548353255311,2,0.8660254037844386,0.5000000000000001
2013-02-11,Balakilong Laurel,0.7073529411764706,0.531707317073171,0.2864864864864866,0.743506493506493,0.2162162162162161,0.0058201058201058,0.1105113636363636,0.504823151125402,0.0235747121920553,0.1019548353255311,2,0.8660254037844386,0.5000000000000001
2013-02-11,Buso Buso Laurel,0.7055882352941175,0.5528455284552847,0.3324324324324332,0.7240259740259742,0.2108108108108108,0.0116402116402116,0.1076704545454545,0.4895498392282958,0.0235747121920553,0.1019548353255311,2,0.8660254037844386,0.5000000000000001
2013-02-11,Bañaga Agoncillo,0.7044117647058823,0.5479674796747969,0.2945945945945949,0.7240259740259742,0.2108108108108108,0.001763668430335,0.1227272727272727,0.4614147909967845,0.0235747121920553,0.1019548353255311,2,0.8660254037844386,0.5000000000000001
2013-02-11,Bilibinwang Agoncillo,0.7047058823529412,0.5463414634146344,0.3243243243243245,0.8084415584415585,0.1648648648648648,0.0,0.1105113636363636,0.492765273311897,0.0235747121920553,0.1019548353255311,2,0.8660254037844386,0.5000000000000001
2013-02-11,Subic Ilaya Agoncilo,0.7070588235294117,0.5040650406504066,0.2108108108108113,0.8441558441558441,0.2108108108108108,0.001763668430335,0.1431818181818182,0.592443729903537,0.0235747121920553,0.1019548353255311,2,0.8660254037844386,0.5000000000000001
2013-02-11,San Nicolas,0.6991176470588235,0.4878048780487807,0.2297297297297298,0.743506493506493,0.1518918918918918,0.0178441253044427,0.1380681818181818,0.5570739549839229,0.0235747121920553,0.1019548353255311,2,0.8660254037844386,0.5000000000000001
2013-02-11,Mataas na Kahoy,0.6885294117647058,0.4894308943089431,0.2297297297297298,0.7727272727272725,0.2108108108108108,0.001763668430335,0.1352272727272727,0.5217041800643087,0.0235747121920553,0.1019548353255311,2,0.8660254037844386,0.5000000000000001
2013-02-11,Tanauan,0.6858823529411765,0.4894308943089431,0.2243243243243249,0.7110389610389607,0.1945945945945945,0.0,0.1829545454545454,0.7162379421221865,0.0235747121920553,0.1019548353255311,2,0.8660254037844386,0.5000000000000001
2013-03-26,Aya Talisay,0.7647058823529411,0.5626016260162603,0.2837837837837842,0.6525974025974026,0.0,0.0,0.1076704545454545,0.5635048231511254,0.0235747121920553,0.1019548353255311,3,1.0,6.123233995736766e-17
2013-03-26,Tumaway Talisay,0.7647058823529411,0.5626016260162603,0.2837837837837842,0.8149350649350651,0.0,0.0005291005291005,0.1184659090909091,0.5570739549839229,0.0235747121920553,0.1019548353255311,3,1.0,6.123233995736766e-17
2013-03-26,Sampaloc Talisay,0.7794117647058824,0.6780487804878048,0.4324324324324324,0.6525974025974026,0.0045045045045045,0.0005291005291005,0.1116477272727272,0.5980707395498394,0.0235747121920553,0.1019548353255311,3,1.0,6.123233995736766e-17
2013-03-26,Berinayan Laurel,0.7794117647058824,0.6211382113821136,0.3513513513513517,0.6525974025974026,0.0135135135135135,0.0,0.1193181818181818,0.6366559485530547,0.0235747121920553,0.1019548353255311,3,1.0,6.123233995736766e-17
2013-03-26,Balakilong Laurel,0.75,0.5715447154471549,0.352702702702703,0.5714285714285712,0.0135135135135135,0.0005291005291005,0.1096590909090909,0.5554662379421222,0.0235747121920553,0.1019548353255311,3,1.0,6.123233995736766e-17
2013-03-26,Buso Buso Laurel,0.7647058823529411,0.5626016260162603,0.2837837837837842,0.6525974025974026,0.0,0.0,0.121875,0.5811897106109326,0.0235747121920553,0.1019548353255311,3,1.0,6.123233995736766e-17
2013-03-26,Bañaga Agoncillo,0.7647058823529411,0.5609756097560974,0.2891891891891887,0.6525974025974026,0.009009009009009,0.0012345679012345,0.1096590909090909,0.6205787781350482,0.0235747121920553,0.1019548353255311,3,1.0,6.123233995736766e-17
